timestamp,iso_time,mode,armed,lat,lng,heading,sog_knots,battery_v,state,gate_x,error_px
1786035745.193,2026-08-07 00:02:25,MANUAL,False,-7.926231,112.5948887,233.11,0.0,0.0,IDLE,,
1786035745.367,2026-08-07 00:02:25,MANUAL,False,-7.926231,112.5948887,233.12,0.0,0.0,IDLE,,
1786035745.544,2026-08-07 00:02:25,MANUAL,False,-7.9262308,112.5948886,233.13,0.0,0.0,IDLE,,
1786035745.691,2026-08-07 00:02:25,MANUAL,False,-7.9262308,112.5948885,233.13,0.0,0.0,IDLE,,
1786035745.895,2026-08-07 00:02:25,MANUAL,False,-7.9262307,112.5948885,233.13,0.0,0.0,IDLE,,
1786035746.074,2026-08-07 00:02:26,MANUAL,False,-7.9262307,112.5948885,233.12,0.0,0.0,IDLE,105,-215
1786035746.217,2026-08-07 00:02:26,MANUAL,False,-7.9262306,112.5948884,233.13,0.0,0.0,IDLE,,
1786035746.374,2026-08-07 00:02:26,MANUAL,False,-7.9262306,112.5948882,233.13,0.0,0.0,IDLE,,
1786035746.499,2026-08-07 00:02:26,MANUAL,False,-7.9262306,112.5948882,233.14,0.0,0.0,IDLE,104,-216
1786035746.632,2026-08-07 00:02:26,MANUAL,False,-7.9262305,112.594888,233.16,0.0,0.0,IDLE,103,-217
1786035746.767,2026-08-07 00:02:26,MANUAL,False,-7.9262305,112.594888,233.16,0.0,0.0,IDLE,103,-217
1786035746.892,2026-08-07 00:02:26,MANUAL,False,-7.9262305,112.5948879,233.17,0.0,0.0,IDLE,101,-219
1786035747.023,2026-08-07 00:02:27,MANUAL,False,-7.9262305,112.594888,233.17,0.0,0.0,IDLE,103,-217
1786035747.142,2026-08-07 00:02:27,MANUAL,False,-7.9262305,112.594888,233.18,0.0,0.0,IDLE,104,-216
1786035747.291,2026-08-07 00:02:27,MANUAL,False,-7.9262304,112.5948881,233.17,0.0,0.0,IDLE,103,-217
1786035747.500,2026-08-07 00:02:27,MANUAL,False,-7.9262304,112.594888,233.17,0.0,0.0,IDLE,102,-218
1786035747.653,2026-08-07 00:02:27,MANUAL,False,-7.9262303,112.5948879,233.17,0.0,0.0,IDLE,78,-242
1786035747.794,2026-08-07 00:02:27,MANUAL,False,-7.9262302,112.5948878,233.15,0.0,0.0,IDLE,39,-281
1786035748.008,2026-08-07 00:02:28,MANUAL,True,-7.9262301,112.5948876,233.15,0.0,0.0,IDLE,44,-276
1786035748.199,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948874,233.16,0.0,0.0,IDLE,34,-286
1786035748.338,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948873,233.16,0.0,0.0,IDLE,34,-286
1786035748.492,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948873,233.17,0.0,0.0,IDLE,52,-268
1786035748.643,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948873,233.18,0.0,0.0,IDLE,63,-257
1786035748.759,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948872,233.19,0.0,0.0,IDLE,88,-232
1786035748.876,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948873,233.19,0.0,0.0,IDLE,95,-225
1786035748.996,2026-08-07 00:02:28,MANUAL,True,-7.92623,112.5948872,233.19,0.0,0.0,IDLE,,
1786035749.121,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.5948871,233.19,0.0,0.0,IDLE,,
1786035749.244,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.5948871,233.19,0.0,0.0,IDLE,,
1786035749.361,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.594887,233.21,0.0,0.0,IDLE,,
1786035749.481,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.594887,233.21,0.0,0.0,IDLE,,
1786035749.646,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.594887,233.2,0.0,0.0,IDLE,,
1786035749.770,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.5948869,233.19,0.0,0.0,IDLE,94,-226
1786035749.889,2026-08-07 00:02:29,MANUAL,True,-7.92623,112.5948867,233.21,0.0,0.0,IDLE,,
1786035750.017,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948866,233.19,0.0,0.0,IDLE,,
1786035750.141,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948865,233.23,0.0,0.0,IDLE,,
1786035750.263,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948864,233.21,0.0,0.0,IDLE,,
1786035750.387,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948864,233.21,0.0,0.0,IDLE,,
1786035750.512,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948863,233.21,0.0,0.0,IDLE,,
1786035750.637,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948862,233.22,0.0,0.0,IDLE,,
1786035750.756,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948861,233.22,0.0,0.0,IDLE,,
1786035750.886,2026-08-07 00:02:30,MANUAL,True,-7.92623,112.5948861,233.21,0.0,0.0,IDLE,,
1786035751.011,2026-08-07 00:02:31,MANUAL,True,-7.92623,112.594886,233.23,0.0,0.0,IDLE,,
1786035751.134,2026-08-07 00:02:31,MANUAL,True,-7.9262301,112.5948859,233.23,0.0,0.0,IDLE,,
1786035751.256,2026-08-07 00:02:31,MANUAL,True,-7.9262301,112.5948859,233.23,0.0,0.0,IDLE,,
1786035751.379,2026-08-07 00:02:31,MANUAL,True,-7.9262301,112.5948859,233.22,0.0,0.0,IDLE,366,46
1786035751.499,2026-08-07 00:02:31,MANUAL,True,-7.9262301,112.5948858,233.22,0.0,0.0,IDLE,371,51
1786035751.622,2026-08-07 00:02:31,MANUAL,True,-7.9262302,112.5948857,233.22,0.0,0.0,IDLE,366,46
1786035751.745,2026-08-07 00:02:31,MANUAL,True,-7.9262302,112.5948857,233.2,0.0,0.0,IDLE,365,45
1786035751.869,2026-08-07 00:02:31,MANUAL,True,-7.9262302,112.5948857,233.19,0.0,0.0,IDLE,366,46
1786035751.993,2026-08-07 00:02:31,MANUAL,True,-7.9262303,112.5948856,233.19,0.0,0.0,IDLE,364,44
1786035752.139,2026-08-07 00:02:32,MANUAL,True,-7.9262303,112.5948856,233.2,0.0,0.0,IDLE,363,43
1786035752.262,2026-08-07 00:02:32,MANUAL,True,-7.9262303,112.5948856,233.2,0.0,0.0,IDLE,362,42
1786035752.390,2026-08-07 00:02:32,MANUAL,True,-7.9262304,112.5948856,233.18,0.0,0.0,IDLE,,
1786035752.512,2026-08-07 00:02:32,MANUAL,True,-7.9262304,112.5948856,233.18,0.0,0.0,IDLE,,
1786035752.633,2026-08-07 00:02:32,MANUAL,True,-7.9262304,112.5948856,233.18,0.0,0.0,IDLE,,
1786035752.775,2026-08-07 00:02:32,MANUAL,True,-7.9262304,112.5948856,233.17,0.0,0.0,IDLE,,
1786035752.897,2026-08-07 00:02:32,MANUAL,True,-7.9262304,112.5948856,233.19,0.0,0.0,IDLE,,
1786035753.023,2026-08-07 00:02:33,MANUAL,True,-7.9262304,112.5948857,233.19,0.0,0.0,IDLE,,
1786035753.151,2026-08-07 00:02:33,MANUAL,True,-7.9262304,112.5948857,233.18,0.0,0.0,IDLE,,
1786035753.289,2026-08-07 00:02:33,MANUAL,True,-7.9262303,112.5948858,233.19,0.0,0.0,IDLE,,
1786035753.424,2026-08-07 00:02:33,MANUAL,True,-7.9262303,112.5948859,233.19,0.0,0.0,IDLE,,
1786035753.558,2026-08-07 00:02:33,MANUAL,True,-7.9262303,112.5948859,233.17,0.0,0.0,IDLE,359,39
1786035753.673,2026-08-07 00:02:33,MANUAL,True,-7.9262303,112.5948859,233.17,0.0,0.0,IDLE,,
1786035753.791,2026-08-07 00:02:33,MANUAL,True,-7.9262303,112.5948861,233.19,0.0,0.0,IDLE,,
1786035753.914,2026-08-07 00:02:33,MANUAL,True,-7.9262303,112.5948862,233.19,0.0,0.0,IDLE,,
1786035754.035,2026-08-07 00:02:34,MANUAL,True,-7.9262302,112.5948863,233.19,0.0,0.0,IDLE,,
1786035754.166,2026-08-07 00:02:34,MANUAL,True,-7.9262302,112.5948864,233.19,0.0,0.0,IDLE,,
1786035754.304,2026-08-07 00:02:34,MANUAL,True,-7.92623,112.5948867,233.17,0.0,0.0,IDLE,,
1786035754.439,2026-08-07 00:02:34,MANUAL,True,-7.92623,112.5948868,233.16,0.0,0.0,IDLE,,
1786035754.579,2026-08-07 00:02:34,MANUAL,True,-7.9262299,112.594887,233.15,0.0,0.0,IDLE,,
1786035754.702,2026-08-07 00:02:34,MANUAL,True,-7.9262297,112.5948873,233.13,0.0,0.0,IDLE,,
1786035754.823,2026-08-07 00:02:34,MANUAL,False,-7.9262296,112.5948875,233.13,0.0,0.0,IDLE,,
1786035754.952,2026-08-07 00:02:34,MANUAL,False,-7.9262295,112.5948877,233.13,0.0,0.0,IDLE,,
1786035755.081,2026-08-07 00:02:35,MANUAL,False,-7.9262294,112.5948879,233.14,0.0,0.0,IDLE,,
1786035755.203,2026-08-07 00:02:35,MANUAL,False,-7.9262292,112.5948883,233.12,0.0,0.0,IDLE,,
1786035755.324,2026-08-07 00:02:35,MANUAL,False,-7.9262291,112.5948885,233.12,0.0,0.0,IDLE,,
1786035755.443,2026-08-07 00:02:35,MANUAL,False,-7.926229,112.5948887,233.12,0.0,0.0,IDLE,,
1786035755.557,2026-08-07 00:02:35,MANUAL,False,-7.9262289,112.5948891,233.11,0.0,0.0,IDLE,,
1786035755.672,2026-08-07 00:02:35,MANUAL,False,-7.9262288,112.5948892,233.1,0.0,0.0,IDLE,,
1786035755.790,2026-08-07 00:02:35,MANUAL,False,-7.9262285,112.5948898,233.1,0.0,0.0,IDLE,,
1786035755.906,2026-08-07 00:02:35,MANUAL,False,-7.9262283,112.5948901,233.1,0.0,0.0,IDLE,,
1786035756.056,2026-08-07 00:02:36,MANUAL,False,-7.9262282,112.5948904,233.1,0.0,0.0,IDLE,,
1786035756.175,2026-08-07 00:02:36,MANUAL,False,-7.926228,112.5948907,233.1,0.0,0.0,IDLE,,
